Lower Bound	Upper Bound	Count
64.0	1999.4349231664955	859886
1999.4349231664955	3934.869846332991	737103
3934.869846332991	5870.304769499487	573588
5870.304769499487	7805.739692665982	465073
7805.739692665982	9741.174615832479	388694
9741.174615832479	11676.609538998973	331131
11676.609538998973	13612.044462165468	287455
13612.044462165468	15547.479385331964	252010
15547.479385331964	17482.91430849846	224813
17482.91430849846	19418.349231664957	201649
19418.349231664957	21353.78415483145	183398
21353.78415483145	23289.219077997946	167706
23289.219077997946	25224.654001164443	155223
25224.654001164443	27160.088924330936	143249
27160.088924330936	29095.523847497432	133876
29095.523847497432	31030.95877066393	125760
31030.95877066393	32966.393693830425	118053
32966.393693830425	34901.82861699692	112103
34901.82861699692	36837.26354016342	106180
36837.26354016342	38772.698463329914	100495
38772.698463329914	40708.1333864964	96501
40708.1333864964	42643.5683096629	92214
42643.5683096629	44579.0032328294	89058
44579.0032328294	46514.43815599589	85697
46514.43815599589	48449.87307916239	82328
48449.87307916239	50385.308002328886	79134
50385.308002328886	52320.74292549538	76986
52320.74292549538	54256.17784866187	74855
54256.17784866187	56191.61277182837	71937
56191.61277182837	58127.047694994864	70674
58127.047694994864	60062.48261816136	68333
60062.48261816136	61997.91754132786	66574
61997.91754132786	63933.35246449435	64998
63933.35246449435	65868.78738766085	63157
65868.78738766085	67804.22231082735	61567
67804.22231082735	69739.65723399384	60522
69739.65723399384	71675.09215716034	59237
71675.09215716034	73610.52708032684	58030
73610.52708032684	75545.96200349333	56887
75545.96200349333	77481.39692665983	55525
77481.39692665983	79416.83184982631	54712
79416.83184982631	81352.2667729928	53846
81352.2667729928	83287.7016961593	53275
83287.7016961593	85223.1366193258	51863
85223.1366193258	87158.5715424923	51206
87158.5715424923	89094.0064656588	50095
89094.0064656588	91029.44138882529	49133
91029.44138882529	92964.87631199179	48454
92964.87631199179	94900.31123515828	47763
94900.31123515828	96835.74615832478	47177
96835.74615832478	98771.18108149128	46631
