type	dist	total	matched
all	10kb	117212144	116752767
recov	10kb	5392908	4934144
all	20kb	119212242	118449068
recov	20kb	7393006	6630445
all	40kb	121216581	120041070
recov	40kb	9397345	8222447
random	NA	9010422	2342676
l1hs	0kb	6423	6418
l1hs	10kb	22381	18719
l1hs	20kb	34031	26603
l1hs	40kb	46742	33588
l1pa2	0kb	24553	24553
l1pa2	10kb	71859	60042
l1pa2	20kb	106249	82511
l1pa2	40kb	143588	101890
sva_a	0kb	1718	1718
sva_a	10kb	3313	3214
sva_a	20kb	4082	3912
sva_a	40kb	4853	4572
sva_f	0kb	1100	1100
sva_f	10kb	3756	3459
sva_f	20kb	5241	4749
sva_f	40kb	6747	5890
hervk_int	0kb	3525	3525
hervk_int	10kb	4530	4511
hervk_int	20kb	5250	5207
hervk_int	40kb	5975	5901
