type	dist	total	matched
all	10kb	116697040	116072130
recov	10kb	4590918	3968065
all	20kb	118608782	117513635
recov	20kb	6502660	5409570
all	40kb	120551717	118837621
recov	40kb	8445595	6733556
random	NA	25194699	3732200
l1tf	0kb	45391	45387
l1tf	10kb	166432	113111
l1tf	20kb	267711	158624
l1tf	40kb	381301	195501
l1a	0kb	270033	270029
l1a	10kb	558131	452212
l1a	20kb	767821	559612
l1a	40kb	991762	649269
l1gf	0kb	31392	31390
l1gf	10kb	82043	60076
l1gf	20kb	121328	78050
l1gf	40kb	164852	93000
iapez-int	0kb	6469	6464
iapez-int	10kb	44360	42133
iapez-int	20kb	75189	70181
iapez-int	40kb	106639	96864
mervl-int	0kb	9299	9296
mervl-int	10kb	30292	29417
mervl-int	20kb	47505	45647
mervl-int	40kb	64576	61015
etnerv-int	0kb	3703	3703
etnerv-int	10kb	7177	7144
etnerv-int	20kb	9862	9805
etnerv-int	40kb	12561	12446
