id	ip.a.counts	input.a.counts	ip.u.counts	input.u.counts
chr10_100406330_100412500	5	7	0	0
chr10_10069374_10075458	1	13	0	2
chr10_104719978_104726123	3	7	1	1
chr10_105377346_105383377	0	9	0	0
chr10_105550203_105556235	3	14	0	2
chr10_105735717_105741873	0	6	0	0
chr10_105775520_105781551	3	2	0	1
chr10_10650857_10656884	2	9	0	0
chr10_106844583_106850610	1	6	0	0
chr10_108113943_108120006	13	11	0	0
chr10_108310130_108316139	1	3	0	0
chr10_108532477_108537868	4	37	4	30
chr10_109131414_109137559	6	43	5	33
chr10_109223621_109229635	4	31	3	25
chr10_109652357_109658473	17	8	14	2
chr10_109681560_109687714	2	7	0	4
chr10_109795499_109801544	1	4	0	0
chr10_109825817_109831846	13	0	4	0
chr10_111043140_111049281	3	11	1	0
chr10_111583927_111589948	2	3	0	0
chr10_111813807_111819830	1	6	0	0
chr10_112062391_112068402	5	16	3	10
chr10_112103925_112109951	0	6	0	0
chr10_115362336_115368543	13	4	0	0
chr10_115581746_115587785	15	2	8	0
chr10_117079038_117085063	17	11	10	2
chr10_11731436_11737465	20	12	9	3
chr10_117832895_117838887	25	11	18	4
chr10_120234299_120240325	0	1	0	0
chr10_120910959_120916983	14	4	0	0
chr10_125945237_125951250	5	4	0	0
chr10_126676471_126682458	2	3	0	0
chr10_126881867_126887893	5	7	0	0
chr10_129732560_129738580	9	4	0	0
chr10_1302016_1308092	12	5	0	0
chr10_131504576_131510718	3	13	1	5
chr10_132087710_132093874	6	4	2	1
chr10_15915731_15921753	8	4	0	0
chr10_17717877_17722977	6	8	0	0
chr10_18030651_18036675	9	2	2	0
chr10_18627418_18633448	1	10	0	0
chr10_19088601_19094618	10	3	0	0
chr10_19581231_19587252	0	13	0	6
chr10_20291416_20297572	2	12	0	2
chr10_20459681_20465829	0	4	0	0
chr10_20525714_20531846	2	2	0	0
chr10_20555404_20561597	8	9	6	5
chr10_20751667_20757692	6	12	0	0
chr10_22060724_22066859	0	6	0	0
chr10_22403137_22409152	12	6	6	1
chr10_23589779_23595933	2	11	2	4
chr10_23666416_23672562	0	12	0	4
chr10_23851013_23857162	2	10	0	0
chr10_25247314_25253340	12	10	0	0
chr10_25515369_25521391	17	3	0	0
chr10_27299253_27305370	0	3	0	0
chr10_27418271_27424390	6	10	0	0
chr10_31443412_31449437	8	15	0	1
chr10_31469210_31475223	3	5	0	0
chr10_32558677_32564814	0	5	0	0
chr10_32699054_32705157	5	8	4	3
