id	ip.a.counts	input.a.counts	ip.u.counts	input.u.counts
SVA_A_chr10_101715171	10	54	6	48
SVA_A_chr10_103912214	7	25	7	24
SVA_A_chr10_108080956	0	0	0	0
SVA_A_chr10_113862865	8	36	6	33
SVA_A_chr10_119710128	10	50	10	40
SVA_A_chr10_12258720	17	30	12	27
SVA_A_chr10_1292164	7	9	6	5
SVA_A_chr10_16442510	4	15	3	13
SVA_A_chr10_21433337	12	38	12	38
SVA_A_chr10_21767517	6	36	6	36
SVA_A_chr10_22580351	12	48	7	34
SVA_A_chr10_22602779	9	33	9	29
SVA_A_chr10_31361498	156	49	99	17
SVA_A_chr10_31481518	7	46	6	42
SVA_A_chr10_32505209	72	93	15	34
SVA_A_chr10_35669968	3	20	3	19
SVA_A_chr10_35989837	0	1	0	1
SVA_A_chr10_39455049	57	194	39	172
SVA_A_chr10_39456789	1	16	1	16
SVA_A_chr10_43242496	156	164	81	61
SVA_A_chr10_43328804	186	188	77	87
SVA_A_chr10_43543819	52	54	11	16
SVA_A_chr10_45346192	17	47	15	29
SVA_A_chr10_45347613	70	49	49	39
SVA_A_chr10_48789042	8	52	7	48
SVA_A_chr10_5321712	2	22	2	13
SVA_A_chr10_56924042	3	19	2	15
SVA_A_chr10_57805387	4	53	3	49
SVA_A_chr10_58243370	114	91	70	47
SVA_A_chr10_60712055	5	27	5	23
SVA_A_chr10_62928267	75	181	43	113
SVA_A_chr10_63189860	2	7	1	7
SVA_A_chr10_68734361	1	4	1	4
SVA_A_chr10_68811032	14	91	12	85
SVA_A_chr10_68944970	8	44	8	44
SVA_A_chr10_69324013	6	31	6	27
SVA_A_chr10_70238076	73	152	22	66
SVA_A_chr10_71343799	7	26	5	12
SVA_A_chr10_72003751	9	26	9	25
SVA_A_chr10_72156981	9	35	9	32
SVA_A_chr10_72758217	19	80	19	80
SVA_A_chr10_74317432	4	29	4	27
SVA_A_chr10_74997082	9	26	9	21
SVA_A_chr10_7672006	4	12	4	8
SVA_A_chr10_7698747	9	60	8	51
SVA_A_chr10_79370611	13	44	11	41
SVA_A_chr10_79998980	3	11	3	11
SVA_A_chr10_83401153	0	8	0	6
SVA_A_chr10_83401290	3	30	2	30
SVA_A_chr10_83520492	8	57	3	18
SVA_A_chr10_8690251	9	60	9	59
SVA_A_chr10_94514050	3	34	3	26
SVA_A_chr10_97260799	3	25	3	21
SVA_A_chr10_97478972	15	64	15	64
SVA_A_chr10_99624206	1	13	1	8
SVA_A_chr10_99953386	10	35	10	32
SVA_A_chr10_GL383546v1_alt_186982	0	0	0	0
SVA_A_chr10_GL383546v1_alt_188982	0	0	0	0
SVA_A_chr11_102204087	0	1	0	1
SVA_A_chr11_110239132	2	3	2	3
SVA_A_chr11_112206081	37	54	31	39
SVA_A_chr11_113523635	110	145	76	70
SVA_A_chr11_114557519	2	36	2	36
SVA_A_chr11_117155842	1	3	1	3
SVA_A_chr11_117955474	9	100	9	92
SVA_A_chr11_119544436	2	22	2	16
SVA_A_chr11_12709415	4	26	4	24
SVA_A_chr11_129322703	2	12	2	10
SVA_A_chr11_131083661	25	58	2	0
SVA_A_chr11_19740280	6	42	4	19
SVA_A_chr11_20442937	1	4	0	2
SVA_A_chr11_24787820	2	2	2	2
SVA_A_chr11_25868573	12	27	11	16
SVA_A_chr11_27024741	0	15	0	14
SVA_A_chr11_29480337	0	0	0	0
SVA_A_chr11_34478538	19	98	19	98
SVA_A_chr11_37159355	0	13	0	13
SVA_A_chr11_37430463	74	167	38	131
SVA_A_chr11_3995835	1	26	0	18
SVA_A_chr11_40760911	0	6	0	6
SVA_A_chr11_4282601	10	4	4	0
SVA_A_chr11_43273570	3	17	3	17
SVA_A_chr11_46843022	9	50	8	46
SVA_A_chr11_47894136	19	52	19	52
SVA_A_chr11_47926076	11	54	11	45
SVA_A_chr11_48707586	1	24	1	20
SVA_A_chr11_516842	54	67	23	38
SVA_A_chr11_59459512	2	41	2	41
SVA_A_chr11_61326325	16	79	15	53
SVA_A_chr11_66550665	4	26	3	21
SVA_A_chr11_67597483	84	156	23	53
SVA_A_chr11_67861610	2	4	2	1
SVA_A_chr11_68075674	10	65	8	54
SVA_A_chr11_68742767	56	82	50	72
SVA_A_chr11_68919273	29	62	21	51
SVA_A_chr11_70397525	11	54	11	41
SVA_A_chr11_70456290	117	111	71	47
SVA_A_chr11_70752212	19	51	15	47
SVA_A_chr11_71797811	0	0	0	0
SVA_A_chr11_72909040	95	136	41	75
SVA_A_chr11_74128568	127	151	22	8
SVA_A_chr11_74149429	8	50	8	44
SVA_A_chr11_77801846	3	23	2	19
SVA_A_chr11_78879005	75	81	24	10
SVA_A_chr11_82576640	3	1	3	0
SVA_A_chr11_85667100	4	13	3	6
SVA_A_chr11_8610351	2	34	2	34
SVA_A_chr11_86155426	7	39	7	34
SVA_A_chr11_8731555	5	60	5	55
SVA_A_chr11_87752541	5	33	5	33
SVA_A_chr11_91062881	22	30	0	2
SVA_A_chr11_9478682	3	43	3	43
SVA_A_chr11_KI270832v1_alt_46483	0	0	0	0
SVA_A_chr12_101903760	3	14	3	13
SVA_A_chr12_101903884	7	39	7	37
SVA_A_chr12_102088711	123	72	37	32
SVA_A_chr12_104522662	7	33	4	30
SVA_A_chr12_107323256	2	1	2	1
SVA_A_chr12_109334334	10	58	10	52
SVA_A_chr12_109490897	0	6	0	6
SVA_A_chr12_114468410	4	40	3	33
SVA_A_chr12_11458369	54	48	31	20
SVA_A_chr12_117915802	4	38	4	38
SVA_A_chr12_118521470	9	24	9	23
SVA_A_chr12_120277491	448	355	244	229
SVA_A_chr12_121394439	9	47	9	46
SVA_A_chr12_124920570	8	39	6	28
SVA_A_chr12_128637663	6	39	6	39
SVA_A_chr12_130598875	21	70	17	62
SVA_A_chr12_18519922	3	14	1	6
SVA_A_chr12_19337730	3	7	1	0
SVA_A_chr12_1947810	15	41	12	38
SVA_A_chr12_29171790	12	48	7	41
SVA_A_chr12_29740194	4	23	4	17
SVA_A_chr12_29740670	9	50	9	50
SVA_A_chr12_30566384	20	70	18	64
SVA_A_chr12_3768101	6	27	4	23
SVA_A_chr12_3768351	9	5	0	0
SVA_A_chr12_43718425	6	62	6	62
SVA_A_chr12_45999607	101	232	46	102
SVA_A_chr12_48641329	97	123	20	39
SVA_A_chr12_50512074	3	19	3	15
SVA_A_chr12_51087315	15	101	12	89
SVA_A_chr12_51163624	5	18	3	17
SVA_A_chr12_51854390	6	15	6	15
SVA_A_chr12_51857646	20	68	16	65
SVA_A_chr12_52152770	13	85	13	85
SVA_A_chr12_53638559	15	107	14	96
SVA_A_chr12_56057659	9	17	5	9
SVA_A_chr12_56493195	35	57	9	20
SVA_A_chr12_56494146	54	53	31	19
SVA_A_chr12_56573777	17	18	13	16
SVA_A_chr12_56637992	7	28	5	21
SVA_A_chr12_56638117	4	42	4	42
SVA_A_chr12_57664489	84	175	34	89
SVA_A_chr12_59728507	12	82	12	82
SVA_A_chr12_62010136	104	241	53	134
SVA_A_chr12_65000591	10	64	7	17
SVA_A_chr12_66174418	225	204	105	118
SVA_A_chr12_6654182	7	39	7	39
SVA_A_chr12_67194656	11	74	8	60
SVA_A_chr12_68622846	15	131	15	126
SVA_A_chr12_6920861	6	27	6	27
SVA_A_chr12_69806580	204	166	129	107
SVA_A_chr12_70192538	8	56	8	49
SVA_A_chr12_7686438	18	62	18	61
SVA_A_chr12_7773182	15	60	11	55
SVA_A_chr12_84737994	14	81	14	67
SVA_A_chr12_92700148	11	56	11	53
SVA_A_chr12_95490560	14	69	14	69
SVA_A_chr12_96169265	2	5	2	1
SVA_A_chr13_18835788	54	53	34	34
SVA_A_chr13_19929977	4	49	4	46
SVA_A_chr13_30402170	10	30	10	30
SVA_A_chr13_30402316	4	54	4	54
SVA_A_chr13_30545197	19	63	16	50
SVA_A_chr13_32595843	10	28	9	21
SVA_A_chr13_35842403	7	58	7	47
SVA_A_chr13_40220840	8	73	6	63
SVA_A_chr13_41571399	147	155	69	34
SVA_A_chr13_42476260	9	32	2	2
SVA_A_chr13_43415369	150	166	35	33
SVA_A_chr13_46284021	25	79	14	32
SVA_A_chr13_46476286	10	31	8	24
SVA_A_chr13_47930638	14	55	13	52
SVA_A_chr13_51104394	0	8	0	6
SVA_A_chr13_51924252	8	72	5	49
SVA_A_chr13_61330655	2	19	2	19
SVA_A_chr13_91663862	7	34	7	34
SVA_A_chr13_96401976	3	9	0	9
SVA_A_chr13_98656209	5	27	5	24
SVA_A_chr13_KI270840v1_alt_137438	0	0	0	0
SVA_A_chr14_103330992	14	25	14	24
SVA_A_chr14_103614022	14	48	14	48
SVA_A_chr14_103769450	19	80	18	75
SVA_A_chr14_104683085	9	11	9	11
SVA_A_chr14_21218714	12	53	10	43
SVA_A_chr14_22100695	7	35	5	21
SVA_A_chr14_22310542	6	42	5	38
SVA_A_chr14_23107519	19	43	19	41
SVA_A_chr14_23107699	58	82	28	7
SVA_A_chr14_31147921	0	15	0	15
SVA_A_chr14_31360951	7	41	7	30
SVA_A_chr14_31803896	0	0	0	0
SVA_A_chr14_34619882	19	88	19	79
SVA_A_chr14_35743541	16	13	15	12
SVA_A_chr14_38619419	4	10	0	7
SVA_A_chr14_38718142	16	98	11	92
SVA_A_chr14_45634483	147	193	78	117
SVA_A_chr14_50132177	11	59	10	40
SVA_A_chr14_50214550	14	39	13	38
SVA_A_chr14_51366617	63	94	28	42
SVA_A_chr14_55226272	8	23	8	22
SVA_A_chr14_59058297	85	121	11	35
SVA_A_chr14_65408863	11	22	11	21
SVA_A_chr14_65716446	39	64	21	51
SVA_A_chr14_67340669	110	190	37	60
SVA_A_chr14_67342227	1	12	1	12
SVA_A_chr14_67803067	7	41	3	35
SVA_A_chr14_73501532	6	20	5	16
SVA_A_chr14_76307327	4	47	4	35
SVA_A_chr14_77178411	4	11	1	6
SVA_A_chr14_77395957	7	41	4	32
SVA_A_chr14_77489532	11	20	9	13
SVA_A_chr14_79749417	4	38	4	35
SVA_A_chr14_79749561	10	80	10	79
SVA_A_chr14_82885343	7	21	7	19
SVA_A_chr14_92065990	9	27	9	27
SVA_A_chr14_92187047	95	143	38	63
SVA_A_chr15_100580061	9	65	9	65
SVA_A_chr15_22803267	15	24	15	24
SVA_A_chr15_22988875	6	25	6	13
SVA_A_chr15_31253432	0	4	0	1
SVA_A_chr15_31253554	2	11	2	9
SVA_A_chr15_35081482	28	20	18	14
SVA_A_chr15_35082501	30	32	21	22
SVA_A_chr15_35085308	2	13	1	4
SVA_A_chr15_36696615	5	14	5	14
SVA_A_chr15_38185348	6	26	2	18
SVA_A_chr15_40198372	1	22	1	18
SVA_A_chr15_40694881	4	45	4	42
SVA_A_chr15_41193325	7	56	7	56
SVA_A_chr15_41577173	5	14	3	10
SVA_A_chr15_43830045	8	15	8	10
SVA_A_chr15_48770220	4	39	4	38
SVA_A_chr15_55445041	89	146	31	101
SVA_A_chr15_58428560	5	23	5	23
SVA_A_chr15_59052642	1	2	1	2
SVA_A_chr15_59579801	3	23	3	23
SVA_A_chr15_61039764	8	32	8	32
SVA_A_chr15_62995947	11	27	9	17
SVA_A_chr15_63096754	10	19	10	17
SVA_A_chr15_64890860	13	21	12	10
SVA_A_chr15_64890978	12	59	12	59
SVA_A_chr15_65293595	3	27	3	26
SVA_A_chr15_65757311	7	53	5	49
SVA_A_chr15_68221211	73	134	27	35
SVA_A_chr15_71343099	4	12	1	8
SVA_A_chr15_72042194	17	54	16	48
SVA_A_chr15_72098712	9	64	9	62
SVA_A_chr15_73401738	9	98	9	93
SVA_A_chr15_74690654	14	46	14	46
SVA_A_chr15_74728293	138	201	28	40
SVA_A_chr15_78091032	17	94	16	90
SVA_A_chr15_82621185	8	75	8	63
SVA_A_chr15_83294922	21	44	18	41
SVA_A_chr15_90171899	9	31	6	22
SVA_A_chr15_93495480	3	10	3	8
SVA_A_chr15_KI270848v1_alt_85877	0	0	0	0
SVA_A_chr16_11266483	14	55	11	45
SVA_A_chr16_11266717	25	26	19	19
SVA_A_chr16_1710086	47	39	44	37
SVA_A_chr16_18701228	1	0	1	0
SVA_A_chr16_21824715	4	3	2	1
