#'chr'	'start'	'end'	'hg38_PE75_20kb_accuracy.bw'
chr1	24031430	24032897	0.7439918943871913
chr1	33308781	33310358	0.8440557979448884
chr1	45105812	45107227	0.7979791475602596
chr1	99507564	99509465	0.980566403655328
chr1	112728413	112729421	0.8624343916419006
chr1	114241851	114243742	0.9205961320401499
chr1	115359360	115361102	0.9190938270207748
chr1	160531445	160533312	0.959558973225541
chr1	163498008	163499808	0.8974038623361027
chr1	167771003	167772158	0.8909634642786793
chr1	167805646	167807059	0.8593655844065456
chr1	225795593	225796836	0.9179418347865846
chr1	227275584	227277091	0.9473382244856846
chr1	234266878	234268452	0.9328327613682729
chr1	238326486	238327684	0.9781924864286572
chr10	31361498	31362733	0.88435586695729
chr10	32505209	32506876	0.8148985569464209
chr10	39455049	39456691	1.0
chr10	43242496	43244402	0.7939412875916
chr10	43328804	43330634	0.9556848846498083
chr10	45346192	45347197	1.0
chr10	45347613	45349205	1.0
chr10	58243370	58245058	1.0
chr10	62928267	62929554	0.9670117329328488
chr10	70238076	70240789	0.788021378375664
chr10_GL383546v1_alt	186982	188139	0.8569841427324659
chr10_GL383546v1_alt	188982	190035	0.9296407185628742
chr11	516842	518179	nan
chr11	4282601	4284031	1.0
chr11	37430463	37432343	1.0
chr11	67597483	67598696	0.9399732924254591
chr11	72909040	72910840	0.8954084979163276
chr11	74128568	74130129	0.8605708137374135
chr11	78879005	78880470	0.8188132373139313
chr11	91062881	91064482	0.9563209866077583
chr11	113523635	113524816	0.9770501273653449
chr11	131083661	131085142	1.0
chr11_KI270832v1_alt	46483	47820	nan
chr12	45999607	46001131	0.946980772838192
chr12	48641329	48642867	0.9338704489452476
chr12	57664489	57666343	0.9325770776248673
chr12	62010136	62011764	0.9564175047804155
chr12	66174418	66175731	0.9876237605604069
chr12	69806580	69807956	0.9775997055477874
chr12	102088711	102089779	0.8852100803722603
chr12	120277491	120279061	0.9928708308441624
chr13	18835788	18837773	nan
chr13	41571399	41572810	0.9410507901182925
chr13	43415369	43417193	0.8480915867673825
chr13_KI270840v1_alt	137438	139423	nan
chr14	45634483	45636455	0.7991812511764723
chr14	59058297	59059681	0.9992774573364699
chr14	65716446	65717820	0.8170457083341767
chr14	67340669	67342181	0.9247076728987316
chr15	55445041	55447779	0.668131943563334
chr15	68221211	68223141	0.7922441005055371
chr15	74728293	74729832	0.944140030494409
chr16	9349586	9350765	0.9218173002772052
chr16	48058550	48059670	0.9302577653101513
chr16	53624781	53626158	0.9479351566594497
chr16	55988419	55990152	0.9451929031598795
chr17	28658257	28660271	0.8821680705028826
chr17	29532356	29533857	0.9840162381738286
chr17	32178200	32180647	0.8278386297361767
chr17	49418829	49420485	0.9656593406593408
chr17	82453201	82454457	0.991250716766734
chr18	10505447	10507407	0.6968466864556683
chr18	12242897	12244176	0.8663104703595994
chr18	14223572	14225649	0.9387388328631655
chr18	14854909	14857903	1.0
chr18	21137044	21138519	0.9747823739455919
chr18	50416885	50418457	1.0
chr18_GL383567v1_alt	124692	126264	nan
chr19	1498619	1500082	0.8965418346923911
chr19	20175333	20176814	0.6957286324233802
chr19	21258895	21261828	0.8047277162987635
chr19	23289368	23290813	0.8830714357765488
chr19	23963428	23965133	0.9088106571328232
chr19	38363490	38364737	0.9297387330361911
chr19	52719770	52721723	0.873127025736446
chr2	25534003	25536762	0.7415528255853773
chr2	27593795	27595164	0.9604319942702857
chr2	32446772	32448649	0.8733474113360706
chr2	71160475	71162092	0.9936733447849271
chr2	86549172	86550427	0.6903015487351453
chr2	156450667	156452583	0.7335288882068901
chr2	183791344	183793322	0.9044168618695364
chr2	187636288	187638204	0.9715156558126506
chr2	201165588	201166984	0.8744941886653189
chr2	234562187	234563625	0.9526418261033579
chr20	3125133	3126524	0.5567509746239856
chr20	5452297	5454164	0.7804031750364938
chr20	9384800	9386288	0.9971997994248585
chr21	13380646	13381691	1.0
chr21	13934253	13936999	0.9698067768353839
chr21	43896970	43898155	0.9007860718900141
chr22	49989349	49990633	0.9751211837444721
chr3	57338000	57339393	0.9868921447125426
chr3	88303235	88304335	1.0
chr3	93759653	93765361	0.9895996671919232
chr3	94043607	94045460	0.9589864825495161
chr3	101550905	101552496	0.9000057156620949
chr3	137872174	137873541	0.9862447697137862
chr3	157177939	157179758	0.781717296482902
chr4	395000	396783	0.8213781124075945
chr4	41490281	41492463	0.8870319091432364
chr4	45207959	45209309	0.7899159663865546
chr4	67380998	67382382	0.997442157506063
chr4	83942832	83944697	0.9210318021416345
chr4	91167862	91169214	1.0
chr4	106320775	106322302	1.0
chr4	109677830	109679647	0.9514384721095706
chr4	158745786	158747459	0.8379577870363257
chr5	32039089	32040263	0.8167802386328553
chr5	32040270	32041847	0.8004655714797007
chr5	37518687	37519737	0.962902477809361
chr5	50607479	50609138	0.8860126438451288
chr5	50773838	50775578	0.8426825989251849
chr5	57517902	57519226	0.9856082289240512
chr5	58562497	58565202	0.9601803837261823
chr5	60430546	60432081	1.0
chr5	71793324	71795258	0.9295584524340822
chr5	77760396	77761651	0.9620673286012444
chr5	133857174	133858883	0.9663553543436799
chr5	158036370	158038049	0.9591609280048345
chr5	163583058	163584614	0.9641104766519639
chr5	176983225	176985106	0.8079198304165683
chr5	177695268	177696445	0.7592803893638446
chr6	29895387	29896448	1.0
chr6	29932088	29933753	1.0
chr6	52824723	52826369	0.9690277028923915
chr6	57310241	57312009	0.9355114842364691
chr6	63163335	63165221	1.0
chr6	69121006	69122509	0.9654755819184893
chr6	108269240	108270946	0.9142496946408628
chr6	158348176	158350731	0.7602298237572911
chr6	169855931	169857709	nan
chr6_KI270797v1_alt	131133	132911	nan
chr7	26175860	26177628	0.6550803928137969
chr7	31153028	31154245	1.0
chr7	33303519	33305150	0.9660704488187096
chr7	36196436	36197908	0.9935081512059855
chr7	44870328	44872661	0.9425287490674747
chr7	54443501	54445134	0.992563439087129
chr7	68082877	68084260	0.819233550253073
chr7	91887747	91889713	0.5997679497485523
chr7	92026338	92028308	0.7489694095550374
chr7	116638124	116639351	0.9523634092537678
chr7	129215717	129217278	0.9634832811997076
chr7	129662776	129664186	0.9358463332853244
chr7	155096290	155097451	0.970330605211184
chr8	47137487	47138690	0.9772849522921213
chr8	52572137	52574581	0.8443009787459663
chr8	93832699	93833753	0.8443885168495395
chr8	93834225	93835276	0.9559341950646298
chr8	97604386	97605563	0.8765041641796051
chr8	117426170	117428074	0.8571303428909859
chr9	5434088	5435334	0.9597386242554703
chr9	35182472	35184757	0.836063763897059
chr9	84525761	84528257	0.8381195362582667
chr9	97129738	97131289	1.0
chr9	98463604	98465134	0.9814688886692321
chr9	100392185	100393882	0.895936949645061
chr9	104234246	104236110	0.7954128981915667
chr9	104316037	104317433	0.9083740620695075
chr9	120304386	120305812	0.9800448778802516
chr9	122710771	122711941	0.9184268118479313
chrX	17244279	17245797	0.9293391832956683
chrX	23522826	23524122	1.0
chrX	25905232	25906798	0.9972328346503344
chrX	27457866	27459560	0.9876769752693895
chrX	30753360	30754776	0.9124382091107341
chrX	40861962	40863670	0.9752262582513318
chrX	48016328	48017858	0.7801569033335973
chrX	54572012	54573505	0.9193675117211619
chrX	70348353	70350539	0.7328873142254917
chrX	71676432	71677552	0.8065476744834866
chrX	73020862	73022803	0.9684691420232802
chrX	73069205	73070552	0.9963548533325685
chrX	75333929	75336363	0.9252724268656282
chrX	78265183	78266489	0.9558780764273809
chrX	101738423	101739716	0.9910293165695179
chrY	12452597	12454516	0.9502504960682033
chrY	20551888	20553271	1.0
