id	ip.a.counts	input.a.counts	ip.u.counts	input.u.counts
SVA_A_chr10_101715171	7	47	6	38
SVA_A_chr10_103912214	13	28	13	27
SVA_A_chr10_108080956	0	2	0	2
SVA_A_chr10_113862865	11	60	6	48
SVA_A_chr10_119710128	10	46	10	41
SVA_A_chr10_12258720	8	29	8	21
SVA_A_chr10_1292164	5	26	4	17
SVA_A_chr10_16442510	0	39	0	28
SVA_A_chr10_21433337	2	31	2	31
SVA_A_chr10_21767517	13	28	13	27
SVA_A_chr10_22580351	11	69	11	55
SVA_A_chr10_22602779	6	54	6	43
SVA_A_chr10_31361498	55	29	37	16
SVA_A_chr10_31481518	13	44	11	36
SVA_A_chr10_32505209	54	80	15	38
SVA_A_chr10_35669968	3	16	3	14
SVA_A_chr10_35989837	1	6	0	5
SVA_A_chr10_39455049	30	192	26	160
SVA_A_chr10_39456789	7	15	7	15
SVA_A_chr10_43242496	115	179	56	75
SVA_A_chr10_43328804	126	217	54	96
SVA_A_chr10_43543819	14	73	4	22
SVA_A_chr10_45346192	9	73	7	45
SVA_A_chr10_45347613	43	98	36	56
SVA_A_chr10_48789042	19	58	13	52
SVA_A_chr10_5321712	2	17	2	11
SVA_A_chr10_56924042	2	22	2	11
SVA_A_chr10_57805387	0	51	0	42
SVA_A_chr10_58243370	80	126	43	69
SVA_A_chr10_60712055	4	23	4	23
SVA_A_chr10_62928267	73	158	50	101
SVA_A_chr10_63189860	1	4	0	3
SVA_A_chr10_68734361	0	16	0	16
SVA_A_chr10_68811032	11	109	9	98
SVA_A_chr10_68944970	3	50	3	50
SVA_A_chr10_69324013	4	37	4	37
SVA_A_chr10_70238076	46	126	15	65
SVA_A_chr10_71343799	2	12	1	9
SVA_A_chr10_72003751	5	31	5	29
SVA_A_chr10_72156981	11	20	11	15
SVA_A_chr10_72758217	14	62	13	62
SVA_A_chr10_74317432	2	27	2	24
SVA_A_chr10_74997082	11	36	10	33
SVA_A_chr10_7672006	8	13	4	12
SVA_A_chr10_7698747	13	40	11	32
SVA_A_chr10_79370611	2	40	2	38
SVA_A_chr10_79998980	4	6	4	6
SVA_A_chr10_83401153	1	7	1	4
SVA_A_chr10_83401290	6	21	3	15
SVA_A_chr10_83520492	18	79	8	42
SVA_A_chr10_8690251	6	57	6	55
SVA_A_chr10_94514050	3	51	2	35
SVA_A_chr10_97260799	8	25	2	22
SVA_A_chr10_97478972	15	83	15	83
SVA_A_chr10_99624206	2	5	1	3
SVA_A_chr10_99953386	2	48	2	43
SVA_A_chr10_GL383546v1_alt_186982	0	0	0	0
SVA_A_chr10_GL383546v1_alt_188982	0	0	0	0
SVA_A_chr11_102204087	1	0	1	0
SVA_A_chr11_110239132	0	3	0	3
SVA_A_chr11_112206081	25	51	19	30
SVA_A_chr11_113523635	70	116	53	73
SVA_A_chr11_114557519	2	55	2	55
SVA_A_chr11_117155842	6	21	6	19
SVA_A_chr11_117955474	7	59	6	55
SVA_A_chr11_119544436	8	19	7	17
SVA_A_chr11_12709415	0	26	0	25
SVA_A_chr11_129322703	3	15	0	9
SVA_A_chr11_131083661	33	42	4	1
SVA_A_chr11_19740280	11	63	7	31
SVA_A_chr11_20442937	2	19	0	7
SVA_A_chr11_24787820	1	6	1	6
SVA_A_chr11_25868573	9	49	0	24
SVA_A_chr11_27024741	6	25	6	15
SVA_A_chr11_29480337	2	0	2	0
SVA_A_chr11_34478538	14	115	14	115
SVA_A_chr11_37159355	1	2	1	2
SVA_A_chr11_37430463	73	142	54	99
SVA_A_chr11_3995835	2	25	1	13
SVA_A_chr11_40760911	3	8	3	8
SVA_A_chr11_4282601	7	2	2	1
SVA_A_chr11_43273570	0	36	0	36
SVA_A_chr11_46843022	5	21	5	20
SVA_A_chr11_47894136	8	32	8	32
SVA_A_chr11_47926076	5	51	4	45
SVA_A_chr11_48707586	5	27	3	19
SVA_A_chr11_516842	106	122	49	65
SVA_A_chr11_59459512	3	100	3	100
SVA_A_chr11_61326325	14	56	7	37
SVA_A_chr11_66550665	10	36	9	24
SVA_A_chr11_67597483	51	104	14	36
SVA_A_chr11_67861610	0	1	0	0
SVA_A_chr11_68075674	2	43	2	39
SVA_A_chr11_68742767	29	45	27	36
SVA_A_chr11_68919273	26	52	20	34
SVA_A_chr11_70397525	12	65	7	46
SVA_A_chr11_70456290	35	66	17	35
