#'chr'	'start'	'end'	'mm10_PE75_10kb_accuracy.bw'
chr1	3344644	3350967	0.7140638443660076
chr1	3499502	3502299	0.545390147607924
chr1	4559598	4566001	0.5133526050318373
chr1	5076799	5082169	0.5793954572498916
chr1	5189145	5194724	0.5591613810698621
chr1	5350394	5356254	0.6025988344643866
chr1	5356255	5357269	0.49632485920684577
chr1	5627373	5628483	0.489098953153636
chr1	5993096	5998361	0.5519305453148554
chr1	7190468	7195816	0.5893522628411186
chr1	7281638	7288060	0.560513273158294
chr1	7328662	7335740	0.42778577989512623
chr1	7718344	7721015	0.442710635803559
chr1	7840585	7841883	0.5481312567904845
chr1	7843440	7848822	0.5864402936589809
chr1	7848823	7849838	0.6651105331523078
chr1	8635012	8641386	0.5675371634816084
chr1	9058156	9063553	0.6756173840088202
chr1	9240515	9246145	0.6023891247793182
chr1	9246146	9247163	0.7435476268287253
chr1	11614870	11619353	0.5350054997764655
chr1	11624894	11627016	0.5973177282283746
chr1	11714413	11720712	0.5855020705579242
chr1	11776819	11783770	0.5592532833355885
chr1	12662868	12668535	0.6905062237286981
chr1	13730885	13737328	0.5703968550747809
chr1	13891064	13897392	0.6544001823780257
chr1	14084859	14090721	0.6128274643862689
chr1	14113240	14119084	0.6261933832857033
chr1	14476216	14482482	0.5527091079956535
chr1	15083806	15089380	0.5393780641008222
chr1	15257889	15264360	0.49683695488417906
chr1	16528192	16531647	0.8010899622084953
chr1	17288556	17294384	0.5147504782635725
chr1	17383335	17390159	0.4809421156425326
chr1	17466855	17472493	0.6004026490990501
chr1	17897633	17904101	0.5713877239330237
chr1	17916183	17922587	0.4678125803972163
chr1	18085243	18086553	0.5487864909736255
chr1	18449050	18451509	0.38949898238005604
chr1	18451510	18452522	0.45364816513339523
chr1	18472685	18478219	0.6096230123147084
chr1	18537028	18543535	0.5256123288005244
chr1	18658625	18664271	0.6318119282582494
chr1	18872425	18877658	0.5109628329759276
chr1	19372291	19377716	0.40562676033392775
chr1	19398791	19404030	0.3948595672047406
chr1	19404031	19405049	0.49319179329750346
chr1	19443808	19450262	0.6456627032329117
chr1	20249128	20250175	0.3674060569394739
chr1	20277931	20284795	0.4056765433016495
chr1	20420809	20422128	0.45541942291317605
chr1	20432214	20438499	0.4666865515618699
chr1	21195396	21202213	0.6509437975613792
chr1	21579252	21581626	0.6609202252738604
chr1	22152809	22154092	0.7755259597392175
chr1	22155952	22157393	0.7249099965893007
chr1	22160265	22162468	0.559856946956981
chr1	23295734	23301110	0.7208520064402891
chr1	23306357	23307415	0.9629504016175434
chr1	24075199	24076419	0.8788318736212594
chr1	24076414	24080635	0.6686208358096734
chr1	24639750	24646186	0.571652344023489
chr1	25119775	25125452	0.5073336129186622
chr1	25403225	25408443	0.751218404048772
chr1	25520347	25526546	0.5559438071203223
chr1	25590834	25596260	0.494131717132503
chr1	25662056	25668295	0.5385485501648033
chr1	25909774	25915713	0.6414580654252737
chr1	26801342	26803003	0.41203325440516175
chr1	27139734	27144655	0.3703351794352118
chr1	27144656	27145677	0.40959046432250396
chr1	27165197	27166208	0.4740353843195384
chr1	27755095	27760319	0.5526363521840126
chr1	27854936	27858309	0.7342982101857468
chr1	28186285	28192895	0.5921042360458357
chr1	28287585	28293849	0.471401079996856
chr1	28398921	28404167	0.6879196679353529
chr1	29703426	29708852	0.5707050653576993
chr1	29888968	29895327	0.5474138383020474
chr1	30610776	30613539	0.4282337353900857
chr1	30614014	30616172	1.0
chr1	30660618	30667036	0.38133103530701473
chr1	30730344	30735864	0.4358515915596139
