#'chr'	'start'	'end'	'hg38_PE75_20kb_accuracy.bw'
chr1	34566056	34572105	0.8128692633886461
chr1	56365453	56369282	0.7966431947712221
chr1	58114947	58115999	0.6088209502937223
chr1	63240556	63242477	0.8967302255025609
chr1	67078892	67084915	0.8004586443958552
chr1	68734082	68736607	0.529662409934801
chr1	68736694	68740136	0.757654701291926
chr1	71513699	71519742	0.7850232176080248
chr1	73193584	73195007	0.9184357831784729
chr1	78243519	78245813	0.4937051021737626
chr1	80939204	80945257	0.6241961749930725
chr1	82660286	82661790	0.8021396194049653
chr1	84052390	84058406	0.8128858647287466
chr1	85748520	85754548	0.5620701968294148
chr1	85771779	85775513	0.8770478035143243
chr1	85927068	85933100	0.6135364247075917
chr1	86679081	86685111	0.6037970663989402
chr1	99389521	99390892	0.6827641364910957
chr1	103922066	103925398	0.8409874006694391
chr1	104770248	104776278	0.6049505693007069
chr1	104843834	104849864	0.6204479932887272
chr1	105819683	105821063	0.8392762029084606
chr1	108578638	108579660	0.8722813630990552
chr1	113341608	113345790	0.7359540163448545
chr1	113497221	113503257	0.7301806739940637
chr1	116717925	116719731	0.715324307266924
chr1	118852352	118858380	0.6149828305249192
chr1	121532231	121538261	0.721028150068548
chr1	121734419	121736567	0.8
chr1	146717193	146723218	0.6128725695533603
chr1	152489882	152491692	0.5478972276600685
chr1	158233127	158234190	0.6701175624317194
chr1	165970865	165974367	0.5703383702379615
chr1	166243054	166249084	0.6247634972654935
chr1	172982028	172987306	0.7325259779790623
chr1	174590324	174596379	0.5081120555013
chr1	174629929	174633018	0.5542612410394379
chr1	176751264	176752355	0.6467729155674208
chr1	180699214	180702498	0.6577109046767106
chr1	180866812	180872843	0.8416352419763969
chr1	184845617	184851641	0.7765527724769415
chr1	187343765	187349794	0.7777108832500998
chr1	187597672	187603699	0.763410551236632
chr1	192484128	192485518	0.7370734312551485
chr1	192923275	192924696	1.0
chr1	193717838	193723892	0.8327049538467701
chr1	195925004	195929320	0.727169859610088
chr1	196219371	196225402	0.7108964276462516
chr1	197532241	197534154	0.5588253689136295
chr1	197707715	197713746	0.7345318503293642
chr1	199023372	199024434	0.9255027607424096
chr1	199024429	199025579	0.719705940640491
chr1	209913772	209919823	0.8606597624785214
chr1	218009228	218015252	0.8947978398431241
chr1	220995697	220996952	0.7445857069881788
chr1	225126291	225128261	0.7833486166097186
chr1	237019468	237025494	0.8125875399656493
chr1	237075265	237081293	0.851027641422387
chr1	239623499	239629523	0.7354479430999247
chr1	247687174	247693204	0.6582982990432148
chr10	5245355	5251383	0.6493598874180745
chr10	6369618	6375667	0.7727609838373866
chr10	10181966	10183924	0.7532798287452058
chr10	13217376	13218700	0.7488693423861823
chr10	19088602	19094618	0.7394382437241489
chr10	25368697	25371378	0.8242649183216401
chr10	33510846	33516876	0.8533824556392523
chr10	38262945	38264456	0.8123508383415
chr10	38264455	38265664	0.7608003700637344
chr10	39024058	39025252	0.8762997541595344
chr10	39508153	39514160	0.5746506759256961
chr10	44222136	44223428	0.5283585736303138
chr10	52181420	52182871	0.6734341578102375
chr10	76586842	76591752	0.7036827723994518
chr10	79965585	79966876	0.605931469768078
chr10	85355507	85361538	0.7002683447143012
chr10	95948130	95949668	0.7516727218857358
chr10	98782942	98788971	0.6262069189107562
chr10	98960752	98962436	0.45079323037078434
chr10	99771460	99773623	0.685747756954701
chr10	105377347	105383377	0.6948511757660861
chr10	105775521	105781551	0.7019472599622623
chr10	108310131	108316139	0.7452946451508728
chr10	109812438	109818457	0.5305098524456553
chr10	131704549	131706170	0.7997479119615596
chr11	5714688	5717583	0.5454944323341834
chr11	5914494	5918448	0.8768340677821883
chr11	7368351	7369709	0.9423089847297837
chr11	7811186	7813731	nan
chr11	24168770	24170491	0.8336541144602663
chr11	24327952	24334001	0.761836499266436
chr11	29154041	29155594	0.5241156629186557
chr11	30965579	30967391	0.7362175541076702
chr11	31315655	31321680	0.8250096148579433
chr11	36551607	36557636	0.7131657309843783
chr11	48847667	48853724	0.5947853255994213
chr11	49104094	49106078	0.5391958245489501
chr11	49793155	49797728	0.6026282040608875
chr11	54784877	54787362	0.8449819142190024
chr11	54849947	54851079	0.9612666060983502
chr11	60048716	60050984	0.5790432872385365
chr11	61084375	61086370	0.8323696051026347
chr11	78677773	78683802	0.9524207717774322
chr11	82155866	82161891	0.7464020630832394
chr11	84365813	84367203	0.9529740842126256
chr11	85324759	85330821	0.7082433049698861
chr11	87340032	87346061	0.6479628972003543
chr11	90400068	90406098	0.6087282797637975
chr11	90967024	90972302	0.6708330913324898
chr11	93136639	93142673	0.6595925577278614
chr11	93420987	93427031	0.6195479594094553
chr11	95436217	95442246	0.7683264923292032
chr11	99602688	99608113	0.6790307725629499
chr11	104675468	104676844	0.7073831334710121
chr11	109177495	109183526	0.6795196013975217
chr11	114842958	114844256	0.741925793179011
chr11	121821300	121823856	0.6222894294114553
chr11	121823854	121827182	0.8884735461682655
chr11	122476874	122478553	0.676676500475499
chr11	125536610	125542640	0.8542460359348785
chr11_KI270829v1_alt	32054	34599	nan
chr12	3499196	3505228	0.8536372644370532
chr12	13392355	13397632	0.882271303065799
chr12	23418070	23419145	0.7845403701760049
chr12	38801630	38805673	0.5155721850241618
chr12	43533336	43534348	0.6235686647797761
chr12	44108221	44114234	0.7474362044977131
chr12	51562632	51568657	0.7182314835365162
chr12	54788574	54794627	0.5351429975034776
chr12	55096257	55102283	0.5030521484756241
chr12	60008670	60009854	0.6073384065986485
chr12	65350358	65353035	0.6560481603079912
chr12	69773411	69779441	0.6462476840610247
chr12	73283668	73289668	0.7110641097611393
chr12	74874869	74880901	0.8043508246912797
chr12	79177050	79178091	0.6485367542155996
chr12	83671825	83674884	0.77376512615616
chr12	83674888	83676496	0.5286530247745822
chr12	87590573	87592599	0.7397959863092209
chr12	87747543	87749422	0.46028755233286545
chr12	97717934	97718957	0.7559517124414677
chr12	97721823	97723838	0.6068711250650676
chr12	101148023	101152064	1.0
chr12	126299024	126305038	1.0
chr12_GL383549v1_alt	37303	43322	0.8037291462217859
chr12_GL383551v1_alt	71818	77832	0.49625492710152835
chr12_GL383551v1_alt	91197	97228	0.7039283651068746
chr12_GL383553v2_alt	112404	118427	0.7941176470588235
chr12_GL877876v1_alt	298553	300863	0.7893617021276595
chr13	29413317	29414490	0.7341915387834937
chr13	29641707	29647706	0.8014188143414428
chr13	31302315	31308370	0.748290110899337
chr13	32867697	32869227	0.9032421556173587
chr13	34480263	34486294	0.7496533769207173
chr13	38287830	38289428	0.9158388227037852
chr13	39986433	39987675	0.6173252902937012
chr13	48465556	48471566	0.775969568878261
chr13	49153270	49158535	0.830969005432974
chr13	58512333	58513869	0.7178911415782446
chr13	74426327	74432354	0.7715351836907033
chr13	75953860	75954898	0.946910884798377
chr13	76612824	76618851	0.7607433237292544
chr13	83961278	83963559	0.9726891726686577
chr13	83963555	83966366	0.8152465176555953
chr13	85926930	85927945	0.627516483438426
chr13	92685562	92691592	0.7144968591157609
chr13	97667409	97673440	0.7562157927747657
chr13	108510473	108516495	0.7950283911132369
chr14	18283819	18289864	1.0
chr14	19720017	19721720	0.6280457623214626
chr14	24112370	24113390	0.5922579476061989
chr14	24488896	24490210	0.6546112126592813
chr14	30684810	30690837	0.7667518842786996
chr14	31793857	31798132	0.6988260285012022
chr14	39629225	39630238	0.5033013267554747
chr14	40718816	40720529	0.7495330163281492
chr14	40728704	40729985	0.709554400972609
chr14	41337865	41339921	0.8061054243419885
chr14	44705081	44711104	0.7213593584327787
chr14	45477111	45483169	0.6951162886229943
chr14	46726453	46727494	0.5666100968545039
chr14	48187083	48193113	0.6759218753992405
chr14	51794602	51800632	0.8099980888675101
chr14	61055086	61061148	0.6431064606696141
chr14	62286320	62288718	0.7824452850995609
chr14	62535852	62541882	0.6993916137958677
chr14	63116707	63122735	0.7578631059286443
chr14	70547291	70553322	0.7656984221176798
chr14	79308934	79314061	0.8044121381305936
chr14_KI270725v1_random	48458	54487	0.8756179769930229
chr15	19816956	19818197	0.542860942440202
chr15	46997956	46999189	0.5475041481990304
chr15	51417217	51423246	0.7514354402026915
chr15	51583107	51585418	0.5462665574883857
chr15	53155850	53157200	0.508846891147119
chr15	54926082	54932099	0.577130146273866
chr15	55986935	55988017	0.5156058383737165
chr15	66449877	66452300	0.9067995186914434
chr15	70729654	70735160	0.7619398074651518
chr15	73532644	73536205	0.7274914357385105
chr15	82882882	82888919	0.8584535799615723
chr15	83450805	83456834	0.7094691698457484
chr15	87509892	87515920	0.6567137310458295
chr15	88554599	88560263	0.8963438788128841
chr16	8057920	8060801	0.7185444741830342
chr16	9584491	9590522	0.8605587635987252
chr16	16840518	16846556	1.0
chr16	18821267	18827058	0.8539274167639266
chr16	33952565	33958612	0.8475609756097561
chr16	34214325	34218873	0.8327280367932303
chr16	35534415	35537679	0.706006683080512
chr16	35608476	35614501	0.6596386875354403
chr16	54042097	54048145	0.9235079329455763
chr16	60876140	60877335	0.7940042856846893
chr16	60877334	60880008	0.6742890831339041
chr16	61918304	61919817	0.8678528172088946
chr16	65690012	65696020	0.7955540472396045
chr16	68583449	68589505	0.9726905034539477
chr16	80727090	80730717	0.9471845625516367
chr16	83637253	83643296	0.9457317237077328
chr16	84456371	84458508	0.9356646737652624
chr16_KI270853v1_alt	2501427	2507460	0.0
chr17	589719	592965	0.9557265088614019
chr17	3348386	3352043	0.5826033968954969
chr17	9615986	9622015	0.9535449992343172
chr17	26674488	26675746	0.9557225836858462
chr17	56190011	56192064	0.8581242467273577
chr17	66596580	66602595	0.9424835760226459
chr17	70458957	70464987	nan
chr17	70544789	70550795	0.8165472946083221
chr17_GL383565v1_alt	54994	61004	1.0
chr17_GL383565v1_alt	158733	164763	nan
chr18	535702	541755	0.8027753591659679
chr18	5332465	5334601	0.765283205312736
chr18	5684669	5687891	0.7765862854332898
chr18	13975861	13981891	0.7664178443916052
chr18	15187025	15188475	0.9097168959420303
chr18	15213046	15214706	0.3088131018753709
chr18	15780478	15781849	0.8667893100552605
chr18	25485077	25487433	0.7368536590737231
chr18	36986323	36987526	0.5707482276910162
chr18	37819738	37825798	0.6925278583670607
chr18	39860029	39861777	0.6885734824485037
chr18	40844863	40848268	0.8679454616748971
chr18	41775015	41781045	0.8738788669964053
chr18	44021280	44024826	0.9114369630006768
chr18	47660374	47666427	0.7404405845427101
chr18	50343960	50349987	nan
chr18	54426982	54430581	0.6954922725605149
chr18	61512675	61515526	0.9325494281620947
chr18	62906293	62912314	0.9273486295694175
chr18	63862796	63866418	0.8257263126121469
chr18	65779303	65780809	0.8275945504823053
chr18	67603634	67605600	0.9595631527148816
chr18	69255001	69256158	0.8971443446216237
chr18	70685211	70686694	0.5565231096599846
chr18	70746550	70752581	0.6700381048311372
chr18	71120652	71122469	1.0
chr18	71655625	71656649	0.6825178888393566
chr18	71656640	71657805	0.7919740531366196
chr18	72966527	72972556	0.7272727272727273
chr18	75846852	75852883	0.9438693311961741
chr18	79114974	79116935	0.7706847036450205
chr18_GL383567v1_alt	51767	57794	nan
chr18_GL383568v1_alt	65122	71148	0.6245720651678198
chr18_GL383570v1_alt	131796	138074	1.0
chr18_GL383570v1_alt	138362	139507	1.0
chr19	30141168	30142671	0.6687904499565374
chr19	30142649	30143934	0.8554448025699719
chr19	31653398	31654536	0.7846798013718979
chr19	42808996	42811014	0.838181763208066
chr19	43051126	43052617	0.7735442145105579
chr19	43864495	43867300	0.9241340457861861
chr19	51672692	51673783	0.8707211782471178
chr19	54580201	54585900	1.0
chr19_GL949746v1_alt	486591	490228	nan
chr19_GL949752v1_alt	485085	488722	nan
chr19_KI270938v1_alt	562782	566419	nan
chr2	993075	995777	0.985403228388461
chr2	2257684	2259565	0.7405310499741748
chr2	4733730	4739760	0.7876662433045193
chr2	10996106	11002136	0.9227640448493057
chr2	16593726	16599758	0.8726207554063683
chr2	31575999	31577158	0.7059966285646322
chr2	34572558	34575548	0.7317123546395251
chr2	36112507	36118537	0.62632567064086
