#'chr'	'start'	'end'	'hg38_PE75_20kb_accuracy.bw'
chr1	73845	74895	0.3220338983050847
chr1	74898	76697	1.0
chr1	14028755	14030285	0.8584829806502349
chr1	20831608	20833653	0.8953523887153763
chr1	25506586	25512707	0.951356169275025
chr1	30438492	30444125	0.660377358490566
chr1	34092395	34098413	0.8142786181005837
chr1	40365614	40370869	0.912235613333837
chr1	43114528	43120516	0.9423519848881232
chr1	48150126	48156157	0.7126279721863332
chr1	49282508	49288376	0.7072510531790499
chr1	49875163	49881175	0.6167103908905641
chr1	58126456	58132485	0.7544589625007805
chr1	58269014	58275032	0.7049404267132302
chr1	58373172	58379206	0.7795365921187408
chr1	59647748	59653779	0.6629048503383861
chr1	60208953	60210804	0.542922272610059
chr1	60465300	60466635	0.6491672423448456
chr1	60550726	60551784	0.393203028433715
chr1	60640013	60646037	0.7061142631933826
chr1	63925013	63927556	0.8793458443316483
chr1	65558565	65564576	0.5965506815200449
chr1	65874503	65875962	0.6863063727036333
chr1	68875778	68881805	0.6720267490346139
chr1	68923487	68926929	0.750767964045022
chr1	68927016	68929511	0.6067229632146373
chr1	69114478	69120511	0.7014534290643468
chr1	69882614	69888643	0.6682736621624321
chr1	71888204	71894235	0.8236695280361286
chr1	72898769	72900480	0.9739268548233616
chr1	72900783	72905092	0.844176747717351
chr1	74445910	74447378	0.6553504295667446
chr1	74448282	74449467	0.847953493685662
chr1	74449469	74451411	0.8776873819123336
chr1	75375827	75377085	0.86739318776396
chr1	75383478	75388208	0.6367809480791975
chr1	76999487	77005515	0.7838192002549921
chr1	78282192	78283452	0.6899439760616848
chr1	78845457	78851474	0.8477418254244384
chr1	79938403	79944419	0.80229785561839
chr1	82250045	82256069	0.8502941548333063
chr1	83182175	83188201	0.9018798039911279
chr1	83339021	83341260	0.636547811686716
chr1	83350414	83356465	0.8193168963339712
chr1	86242535	86245288	0.5573542197097919
chr1	88341843	88347867	0.910685574103679
chr1	89412580	89418615	0.686027666638145
chr1	89560390	89561898	0.6576421913006577
chr1	89747027	89753053	0.6870320509937448
chr1	91211588	91216947	0.5665521758503504
chr1	93790653	93796681	0.7398359672837583
chr1	96604387	96610400	0.8030202215155641
chr1	97317945	97322243	0.6169286863700686
chr1	98588662	98592036	0.9518324210930662
chr1	98592033	98593044	0.6396290598000546
chr1	102928103	102934113	0.7681658897605644
chr1	103355358	103356611	0.6127285081581031
chr1	105214147	105216398	0.6551303406494663
chr1	105658760	105660938	0.5744135131028073
