#'chr'	'start'	'end'	'mm10_PE75_10kb_accuracy.bw'
chr1	4557456	4558488	0.9471153846153846
chr1	5804698	5811110	0.9752139780023288
chr1	6169359	6172456	0.9570497243990235
chr1	6430718	6437148	0.9652045647951643
chr1	7609994	7611831	0.9421333730318134
chr1	7994044	8000474	0.9052781532003106
chr1	8156542	8162909	0.9421031659265169
chr1	8659868	8662194	0.9337610057254218
chr1	8787275	8789174	0.8041367039610173
chr1	10730213	10736663	0.9535376719675411
chr1	11887467	11888954	0.9501968255211486
chr1	11888955	11890175	0.9931694249637791
chr1	11946977	11948789	0.9557190966383319
chr1	11949036	11950284	0.9672081409356533
chr1	13550861	13557337	0.9905453770862276
chr1	16738611	16744987	0.9937981239641904
chr1	17957086	17963575	0.9813064516355502
chr1	18252930	18253951	0.9706201758837724
chr1	18517343	18519803	0.9835462613803584
chr1	18519785	18520860	0.8319944337356923
chr1	19622728	19629200	1.0
chr1	21583533	21584567	0.9231064608352819
chr1	21995604	22002109	0.997429591412431
chr1	23301468	23302730	1.0
chr1	23302730	23306003	0.9994327135259633
chr1	26349522	26352792	0.8719300681484234
chr1	26352792	26354036	0.8904376192874847
chr1	26414357	26420745	0.8796187119806893
chr1	26471506	26475872	0.7672629400176809
chr1	27180504	27186893	0.9724529791569364
chr1	28890339	28891362	0.9608245045465875
chr1	29655025	29657604	0.9949576442113756
chr1	29657595	29658684	0.8974594148175228
chr1	29943076	29946307	1.0
chr1	29946300	29948988	0.9828200993226401
chr1	34347810	34350311	1.0
chr1	34916491	34918843	0.9355858678241455
chr1	35788857	35795229	0.9841541227849375
chr1	37279182	37282093	0.9613219205192515
chr1	37775316	37778271	0.9878945701385338
chr1	38705207	38706447	0.9874999761581421
chr1	38706953	38708605	0.9129643260510928
chr1	40698340	40701259	0.9911478587559291
chr1	44292338	44295287	0.9647144407478407
chr1	45734427	45735732	0.9046757072345164
chr1	45735732	45738997	0.9941623202620713
chr1	47224913	47227628	0.9979112290215555
chr1	48089475	48090667	1.0
chr1	48090667	48093934	0.8994744750276267
chr1	48354687	48356272	0.9261563862273839
chr1	48358134	48362975	0.9756779996029264
chr1	48671669	48672694	0.8233719003522718
chr1	48802213	48803591	0.946033163063758
chr1	52591433	52593790	0.914487713364858
chr1	53129981	53131130	0.9361218087163187
