id	ip.a.counts	input.a.counts	ip.u.counts	input.u.counts
chr10_100406330_100412500	2	8	0	0
chr10_104719978_104726123	8	22	8	16
chr10_105377346_105383377	0	13	0	5
chr10_105735717_105741873	0	5	0	3
chr10_105775520_105781551	3	1	0	0
chr10_10650857_10656884	6	5	6	2
chr10_106844583_106850610	8	3	6	3
chr10_108113943_108120006	23	11	9	4
chr10_108310130_108316139	4	1	4	0
chr10_108532477_108537868	8	48	8	39
chr10_109223621_109229635	5	50	4	45
chr10_109652357_109658473	20	10	18	5
chr10_109681560_109687714	2	6	0	4
chr10_109795499_109801544	2	1	0	0
chr10_109825817_109831846	17	2	12	1
chr10_111583927_111589948	7	7	5	5
chr10_111813807_111819830	0	3	0	1
chr10_112062391_112068402	7	17	4	12
chr10_112103925_112109951	0	7	0	2
chr10_115362336_115368543	29	32	26	30
chr10_117079038_117085063	23	4	16	2
chr10_11731436_11737465	16	14	14	8
chr10_117832895_117838887	34	15	30	12
chr10_120234299_120240325	1	4	1	3
chr10_120910959_120916983	23	6	15	2
chr10_125945237_125951250	8	4	4	2
chr10_126676471_126682458	3	3	2	2
chr10_126881867_126887893	4	10	2	2
chr10_129732560_129738580	17	7	5	4
chr10_1302016_1308092	9	5	2	1
chr10_131504576_131510718	2	6	0	3
chr10_15915731_15921753	13	3	6	0
chr10_17717877_17722977	11	19	8	12
chr10_18030651_18036675	14	5	8	3
chr10_18627418_18633448	1	15	1	5
chr10_19088601_19094618	8	3	1	0
chr10_19581231_19587252	0	13	0	9
chr10_20291416_20297572	4	9	2	4
chr10_20525714_20531846	5	22	3	20
chr10_20555404_20561597	5	13	5	9
chr10_20751667_20757692	19	21	17	9
chr10_22403137_22409152	22	11	17	7
chr10_23589779_23595933	3	21	3	17
chr10_23666416_23672562	1	12	0	4
chr10_23851013_23857162	4	7	2	4
chr10_25247314_25253340	13	5	8	0
chr10_25515369_25521391	31	19	16	15
chr10_27299253_27305370	0	5	0	2
chr10_27418271_27424390	9	3	6	0
chr10_31443412_31449437	12	17	2	5
chr10_31469210_31475223	4	7	2	3
chr10_32558677_32564814	2	11	2	7
chr10_32699054_32705157	6	14	4	12
chr10_33510845_33516876	9	16	9	12
chr10_35473782_35479771	14	15	5	10
chr10_35858668_35864695	2	5	1	1
chr10_37044908_37050652	7	24	6	16
chr10_37896970_37902988	42	12	19	6
chr10_39508152_39514160	15	4	13	3
chr10_41749404_41755349	1	14	1	11
chr10_41797910_41803897	3	11	2	4
chr10_42140003_42146144	4	2	1	2
chr10_42435381_42441412	2	10	2	3
chr10_42665128_42671301	4	2	3	2
chr10_43716710_43722842	10	9	8	2
chr10_44268315_44274469	0	2	0	0
chr10_45009173_45015196	0	4	0	1
chr10_45362159_45368173	1	7	0	3
chr10_50782474_50788587	2	44	2	27
chr10_5174970_5181139	20	3	18	1
chr10_51941454_51947615	10	6	6	4
chr10_5222679_5228851	8	21	1	4
chr10_52233328_52239334	3	7	1	5
chr10_52360195_52366339	3	10	2	7
chr10_5245354_5251383	28	5	19	1
chr10_52730355_52736527	3	5	1	5
chr10_53494006_53500000	8	9	6	4
chr10_55601875_55607910	0	10	0	6
chr10_55683076_55689092	4	4	3	1
chr10_55899641_55905708	6	0	5	0
chr10_58675839_58681636	0	9	0	7
chr10_59470127_59475776	4	34	2	26
chr10_60692960_60698897	0	14	0	9
chr10_62602750_62608755	24	24	15	18
chr10_62672214_62678359	2	7	0	0
chr10_6369617_6375667	20	13	5	9
chr10_64924285_64930261	13	5	11	4
chr10_66442673_66448861	0	2	0	0
chr10_67230665_67236674	8	15	5	13
chr10_67387044_67393069	25	21	17	13
chr10_67558505_67564644	30	17	23	10
chr10_6804143_6810301	8	38	8	29
chr10_73323334_73329500	11	36	9	22
chr10_74216880_74223021	9	2	5	0
chr10_75558530_75564686	2	41	2	28
chr10_76142708_76148837	8	57	7	40
chr10_76608512_76614828	4	6	3	2
chr10_76846210_76852331	4	27	4	21
chr10_78088450_78094479	5	11	4	7
chr10_78676493_78682651	0	7	0	3
chr10_79956165_79962310	4	7	3	1
chr10_80722509_80728544	36	24	27	16
chr10_80881468_80887604	11	55	11	52
chr10_81709615_81715642	22	17	15	8
chr10_82344062_82350086	10	9	5	2
chr10_83781056_83787087	10	31	7	24
chr10_84279967_84286006	5	30	2	18
chr10_84756878_84762878	6	15	3	3
chr10_84773056_84779262	4	5	2	1
chr10_85355506_85361538	12	26	1	23
chr10_85769340_85775490	3	6	0	0
chr10_85876618_85882780	1	15	0	12
chr10_88628462_88634738	0	4	0	0
chr10_90153450_90159478	54	54	52	43
chr10_90250613_90256635	18	37	8	27
chr10_91503263_91509287	26	3	15	2
chr10_91749615_91755638	3	16	3	11
chr10_93520973_93527095	9	11	9	8
chr10_95079215_95085109	0	16	0	3
chr10_9519878_9526029	9	30	5	27
chr10_98782941_98788971	10	8	7	8
chr10_99152737_99158758	24	5	13	2
chr11_100285746_100291751	7	2	6	1
chr11_100409041_100415069	8	25	6	21
chr11_100451858_100457873	22	3	17	3
chr11_100475720_100481744	14	27	12	23
chr11_101462008_101467169	9	27	7	25
chr11_101678417_101684557	4	1	4	1
chr11_10173147_10179353	5	5	2	0
chr11_101852489_101858627	1	8	0	4
chr11_102741437_102747464	2	17	2	12
