id	ip.a.counts	input.a.counts	ip.u.counts	input.u.counts
chr10_100406330_100412500	5	8	1	2
chr10_104719978_104726123	5	44	1	29
chr10_105377346_105383377	0	11	0	9
chr10_105735717_105741873	5	6	0	1
chr10_105775520_105781551	4	24	1	15
chr10_10650857_10656884	0	10	0	3
chr10_106844583_106850610	0	2	0	0
chr10_108113943_108120006	2	10	0	6
chr10_108310130_108316139	2	1	0	0
chr10_108504410_108510526	0	5	0	3
chr10_109223621_109229635	14	23	14	23
chr10_109652357_109658473	10	6	7	4
chr10_109681560_109687714	2	5	1	4
chr10_109795499_109801544	1	2	1	1
chr10_109825817_109831846	21	8	11	6
chr10_111583927_111589948	5	12	3	7
chr10_111813807_111819830	5	5	4	0
chr10_112062391_112068402	21	15	20	7
chr10_112103925_112109951	6	6	0	4
chr10_112250899_112257061	5	10	3	7
chr10_115362336_115368543	0	37	0	32
chr10_117079038_117085063	6	11	5	6
chr10_11731436_11737465	0	17	0	6
chr10_117832895_117838887	8	23	4	21
chr10_120234299_120240325	2	1	0	0
chr10_120910959_120916983	21	13	16	10
chr10_125945237_125951250	14	6	11	0
chr10_126676471_126682458	3	7	2	7
chr10_126881867_126887893	5	44	3	31
chr10_129732560_129738580	28	9	16	7
chr10_1302016_1308092	4	6	1	0
chr10_131504576_131510718	7	14	7	7
chr10_15915731_15921753	0	7	0	3
chr10_17717877_17722977	14	35	14	27
chr10_18030651_18036675	3	4	3	2
chr10_18627418_18633448	1	12	0	11
chr10_19088601_19094618	1	3	1	3
chr10_19581231_19587252	5	15	5	9
chr10_20291416_20297572	10	17	9	10
chr10_20525714_20531846	25	50	22	35
chr10_20555404_20561597	5	13	3	4
chr10_20751667_20757692	3	22	2	18
chr10_22123889_22129939	0	6	0	0
chr10_22403137_22409152	2	18	2	13
chr10_23589779_23595933	2	28	2	24
chr10_23666416_23672562	4	20	4	12
chr10_23851013_23857162	2	11	2	3
chr10_25247314_25253340	1	0	1	0
chr10_25515369_25521391	7	26	3	23
chr10_27299253_27305370	1	3	1	3
chr10_27418271_27424390	12	8	8	5
chr10_30948036_30953410	1	8	1	2
chr10_31443412_31449437	5	12	3	3
chr10_31469210_31475223	6	11	5	8
chr10_32558677_32564814	2	9	2	6
chr10_32699054_32705157	13	22	12	17
chr10_33510845_33516876	0	11	0	10
chr10_35473782_35479771	12	7	8	3
chr10_35858668_35864695	2	1	0	0
chr10_37044908_37050652	1	18	1	10
chr10_37896970_37902988	26	7	18	4
chr10_39508152_39514160	2	4	2	3
chr10_41749404_41755349	8	12	8	9
chr10_41797910_41803897	9	11	3	4
chr10_42140003_42146144	3	8	2	7
chr10_42435381_42441412	3	19	2	10
chr10_42665128_42671301	11	6	6	2
chr10_43716710_43722842	4	8	4	7
chr10_44106731_44112897	1	14	0	9
