#'chr'	'start'	'end'	'mm10_PE75_10kb_accuracy.bw'
chr1	3106246	3112409	0.8286144079257582
chr1	3136588	3137756	0.5867901059148246
chr1	3137760	3139637	0.4400226492543899
chr1	3237889	3243835	0.6789581762716618
chr1	3305032	3306962	0.5310569486315386
chr1	3734918	3740060	0.8953567298642859
chr1	3766054	3767699	0.4441775234999265
chr1	3767765	3772156	0.6423391301453834
chr1	3846874	3853110	0.7516717596876843
chr1	3896205	3897773	0.4946593241956161
chr1	4019737	4021627	0.40432656973442704
chr1	4079288	4085812	0.5324628520494293
chr1	4109723	4111304	0.7405702135443762
chr1	4177251	4181599	0.810757130274777
chr1	4187673	4192866	0.6651639085892145
chr1	4212702	4213806	0.556081839337729
chr1	4249510	4254488	0.8133729108848358
chr1	4335180	4340331	0.8942639564811723
chr1	4483868	4485989	0.3224850553265724
chr1	5034736	5040935	0.5657903392779517
chr1	5328662	5331010	0.7998665052337581
chr1	5331011	5332169	0.7585939896744973
chr1	5429837	5435642	0.5370210954330137
chr1	5526331	5531195	0.832134341649515
chr1	5551472	5552815	0.3919017626026719
chr1	5574083	5576059	0.8568176152071489
chr1	5740318	5741795	0.4785582578577702
chr1	5819994	5825598	0.49964799002865906
chr1	5849956	5855306	0.8947019795168226
chr1	6144995	6151219	0.5347300527622124
chr1	6252776	6254718	0.560533962798536
chr1	6365572	6367701	0.8306926145078768
chr1	6462062	6463255	0.7935184197373882
chr1	6587534	6588639	0.8098985533908482
chr1	6636048	6637528	0.5404856101886646
chr1	6645651	6649688	0.7650193979842314
chr1	6917009	6922398	0.6357580950771596
chr1	7482160	7488613	0.6117996514920672
chr1	7794968	7798082	0.7602812340991498
chr1	7857397	7861829	0.8806132918176668
chr1	8139469	8140545	0.7113286761435434
chr1	8209497	8212460	0.8581386787280657
chr1	8212471	8219050	0.4547447399447229
chr1	8219052	8221270	0.8378455683494925
chr1	8231772	8234195	0.8288058627010917
chr1	8235775	8240663	0.825493006349683
chr1	8367896	8371542	0.889519174446853
chr1	8509790	8514727	0.8652790444496553
chr1	8517903	8523536	0.7373947696090697
chr1	8523534	8527007	0.6965512761526
chr1	8598838	8600140	0.378360948071868
chr1	8628409	8630137	0.38448332672662755
chr1	8664109	8669303	0.7547880992620415
chr1	8688693	8694262	0.3693319501715967
chr1	8699698	8702150	0.4225400020330415
chr1	8714857	8717637	0.6345266630806082
chr1	8725794	8730198	0.855996809175727
chr1	8730432	8731504	0.7180294679172003
chr1	8827313	8833486	0.9201288196037524
chr1	9044848	9051194	0.4796638727298378
chr1	9093676	9098807	0.8831853633083997
chr1	9120766	9122478	0.7081061773628832
chr1	9122476	9124305	0.49212771993051013
chr1	9135252	9136465	0.5827054875209522
chr1	9175410	9180979	0.4540544059251322
chr1	9401680	9406684	0.8611352958064679
chr1	9734476	9735487	0.38310396634447585
chr1	10422141	10427929	0.6342501415754505
chr1	10436941	10437976	0.847283036754903
chr1	10528990	10535361	0.7258809125321047
chr1	10537575	10543704	0.7798663063643709
chr1	10786856	10793003	0.6634352238018842
chr1	10882288	10887782	0.630329703226902
chr1	10908994	10912668	0.8899825529099549
chr1	11069506	11073194	0.7327148224875621
chr1	11673970	11679358	0.5496051373418331
chr1	11680442	11683276	0.7019765281559467
chr1	11709888	11710991	0.7577661008372268
chr1	11723228	11729855	0.49092481353352363
chr1	11805333	11810613	0.5627086196799536
chr1	11853705	11858861	0.707140090669022
chr1	11943569	11944602	0.8737198454828253
chr1	12075417	12079890	0.7419026209973864
chr1	12153692	12157353	0.8527889656128371
chr1	12218012	12222374	0.6288115805111474
chr1	12356977	12358342	0.6835007360130002
chr1	12457689	12462933	0.904997120755579
chr1	13813145	13814897	0.6755471004772995
chr1	13818851	13820562	0.8534094878346651
chr1	13976236	13977323	0.6481531006870954
chr1	14365188	14367281	0.4628140760191422
chr1	14827818	14829476	0.9198505176709846
chr1	14956409	14957480	0.6817393630158668
chr1	14988595	14994955	0.5632405709534788
chr1	15020304	15025491	0.4892761364821228
chr1	15228446	15233430	0.6116396397902342
chr1	15270393	15272241	0.6989425284005862
chr1	15501437	15502782	0.6066027646392694
chr1	15736586	15743589	0.4877499322143863
chr1	15950061	15956238	0.5888264293672199
chr1	16421408	16427609	0.8553270924343176
chr1	16870993	16876204	0.8834296886152634
chr1	17328919	17335070	0.5746823977712875
chr1	17473539	17478944	0.5758667747104763
chr1	17679855	17686200	0.5374290396887266
chr1	17698949	17705532	0.48913877285234875
chr1	17953163	17956735	0.7560601089313221
chr1	17963932	17965561	0.7242992004234414
chr1	18077954	18084249	0.5923972823131926
chr1	18373427	18375024	0.7226408955897102
chr1	18879233	18882469	0.8408335642923678
chr1	18927576	18932785	0.6177140275835634
chr1	19125737	19132274	0.49080914452947483
chr1	19378835	19380116	0.6816772787390418
chr1	19380117	19381124	0.8167158491916903
chr1	19394076	19397258	0.9750956954032951
chr1	19434729	19440905	0.5371910144452581
chr1	19687178	19693551	0.5107666568293707
chr1	19838876	19844707	0.5256838260324022
chr1	20022897	20029148	0.7794820048398882
chr1	20040192	20041962	0.4957529477143692
chr1	20042466	20043586	0.7019899704626629
chr1	20043581	20045164	0.7773796509355966
chr1	20096308	20102498	0.7010843621894886
chr1	20315367	20321668	0.47892093578666817
chr1	20422918	20427230	0.786572319291297
chr1	20486403	20492595	0.4828992931518364
chr1	20525566	20530745	0.7009333571869103
chr1	20574496	20580057	0.5017198301300009
chr1	20637613	20638883	0.5016606265165674
chr1	20642394	20648531	0.5060165144758586
chr1	20705411	20709486	0.5771955642546377
chr1	20710352	20711496	0.5509005896486603
chr1	21016268	21021241	0.9008597804582889
chr1	21134763	21135829	0.7621652902179096
chr1	21135828	21138148	0.88580796929269
chr1	22054514	22061536	0.6437315716456898
chr1	22092292	22097479	0.640438242795864
chr1	22185525	22186745	0.7311320590679763
chr1	22230824	22237016	0.7310270475420995
chr1	22637009	22638238	0.6318255242921164
chr1	22867957	22874570	0.699343392179032
chr1	22916218	22922581	0.6211770995665579
chr1	23315310	23316420	0.4368115647419079
chr1	23469729	23471750	0.557128851128238
chr1	23614341	23619511	0.8203849247853114
chr1	23663136	23668370	0.6237078152189831
chr1	23724242	23729445	0.5209661205959111
chr1	23885271	23886404	0.8962568664382436
chr1	23888997	23890646	0.4466142227682011
chr1	23989503	23990943	0.735072917284237
chr1	24340013	24344877	0.6370272008015921
chr1	24496341	24501897	0.6728958336328997
chr1	24545301	24546624	0.5943213964355596
chr1	24981369	24983829	0.8505436607977239
chr1	25328612	25333579	0.9075970206554445
chr1	25858074	25859366	0.7362553806681382
chr1	25859363	25860470	0.9068486920970996
chr1	26258928	26261133	0.3843315768133756
chr1	26428429	26432764	0.4549566230005469
chr1	26440958	26447119	0.6942385179358747
chr1	26499121	26505300	0.8395868171678755
chr1	26534941	26536373	0.7963848590184857
chr1	26665772	26667558	0.7970395602811491
chr1	26709382	26710642	0.9995433668295542
chr1	26711164	26715136	0.8846346870710002
chr1	26715138	26716149	0.9007002948889274
chr1	26938950	26941490	0.35260584346187396
chr1	27049652	27050919	0.4405697443490905
chr1	27126426	27127569	0.8990473066727946
chr1	27127428	27131838	0.8309407012668056
chr1	27135025	27136026	0.9790961073114203
chr1	27194016	27200015	0.540580422125705
chr1	27270337	27276738	0.6472373555560512
chr1	27507006	27509958	0.9229571214374811
chr1	27515192	27516586	0.9314881304073197
chr1	27519029	27521404	0.8250437333033636
chr1	27738146	27741924	0.7436106591517487
chr1	27862324	27863876	0.8557112150892769
chr1	27973375	27979896	0.9229662784164878
chr1	28113735	28119744	0.8150495127713049
chr1	28302781	28307891	0.757415129134279
chr1	28389673	28390777	0.7960771121948526
chr1	29036836	29043019	0.8456461314364874
chr1	29332860	29338001	0.6590016133219239
chr1	29368225	29373823	0.522899993563531
chr1	29406984	29413475	0.7466861503716702
chr1	29580222	29586610	0.5186757957312041
chr1	29737574	29740372	0.3840731124608665
chr1	29744119	29746471	0.5751572285405024
chr1	29949830	29951157	0.8361042498104897
chr1	29991894	29993389	0.7820465131348192
chr1	30036186	30043464	0.3853757773582077
chr1	30045170	30047291	0.6693912192419695
chr1	30159639	30165792	0.48067260631774084
chr1	30193656	30197160	0.670416625837485
chr1	30304424	30311378	0.4254255330629662
chr1	30311375	30312799	0.2276749305866575
chr1	30333110	30338513	0.5546499474103015
chr1	30370800	30376814	0.5144029049517406
chr1	30468561	30470841	0.7418926943812454
chr1	30702260	30705123	0.7790814747229099
chr1	30722542	30727010	0.7816257028680145
chr1	30742841	30748857	0.8138307871079032
chr1	30760532	30765911	0.4594043104581748
chr1	30958947	30962929	0.7868967279676676
chr1	31295816	31301339	0.6272809899265559
chr1	31301339	31306206	0.888955927100886
chr1	31309993	31314842	0.9150098730397239
chr1	31383910	31389112	0.6189404693317152
chr1	31410366	31416710	0.44039801045211746
chr1	31454497	31459647	0.6084665901708131
chr1	31486314	31492692	0.6376490638515127
chr1	31546040	31552405	0.8161238165044072
chr1	31584524	31586263	0.47503766546035514
chr1	31814252	31820443	0.5148859551618925
chr1	32050282	32051628	0.6760481423290133
chr1	32162522	32164478	0.4116138201854468
chr1	32272761	32274355	0.7485694902080814
