#'chr'	'start'	'end'	'mm10_PE75_10kb_accuracy.bw'
chr1	5250609	5255976	0.9728678352532406
chr1	5485368	5486914	0.9840764533656072
chr1	10890129	10895454	0.8831674769338868
chr1	10976401	10981663	0.8288077715984937
chr1	11258251	11263537	0.9068604966162552
chr1	13136613	13137673	1.0
chr1	13208151	13213509	0.9855097974579295
chr1	14061148	14062356	0.9883494623844197
chr1	16622555	16624566	0.9496100813165226
chr1	16624567	16625589	0.952169164286201
chr1	16892392	16897678	0.9134162933358435
chr1	29643883	29649208	0.9922128268138903
chr1	34078850	34084136	0.9767282884589118
chr1	34645270	34650556	0.9848379474943711
chr1	36031970	36037306	0.9888375182559287
chr1	50369960	50371239	0.9903001572770752
chr1	50371590	50375052	0.9833974291450505
chr1	50710127	50714265	0.9705162628541654
chr1	54890309	54895595	0.9931798537842847
chr1	55924122	55929447	0.9949077552473041
chr1	58938825	58944155	0.9931206946972387
chr1	73868474	73873759	0.9977672659798174
chr1	74646024	74647405	0.9946829661521939
chr1	77478026	77483312	0.996253102420182
chr1	79962254	79967540	0.9930309716332301
chr1	82397184	82402553	0.6601299569024611
chr1	82421733	82427058	0.7534748056572927
chr1	84161781	84167097	0.9514193225391293
chr1	84542979	84548350	0.941358255998224
chr1	85106768	85109031	0.7177798682972719
chr1	85173001	85178358	0.9686363185757663
chr1	85267585	85269727	0.6666666666666666
chr1	85601497	85603757	0.9038461538461539
chr1	87742133	87746562	0.9960658835029731
chr1	88830346	88835671	0.9917370894257451
chr1	98766677	98772035	0.9924044672048752
chr1	105610392	105615365	0.9957359579039512
chr1	107794358	107799727	0.9944541139052855
chr1	110375899	110376943	1.0
chr1	113337287	113342646	0.9955110134346399
chr1	114603959	114609284	0.995181864024328
chr1	115487391	115489670	1.0
chr1	129394698	129399902	0.9963645959111198
chr1	134125423	134129327	1.0
chr1	137062937	137068223	0.9910653100246468
chr1	139953093	139958379	0.9748076635285665
chr1	144674863	144680199	0.9970282746487293
chr1	147465871	147466879	0.9857875030665171
chr1	148364198	148369517	0.9873411590431301
chr1	149451465	149456752	0.9290145354435984
chr1	149600205	149605492	0.917726125973304
chr1	151866382	151871668	0.9616934111453889
chr1	152179763	152180920	0.9544375063843427
chr1	152180901	152181920	0.895278996878447
chr1	152478027	152483385	0.9461880175502367
chr1	155538933	155543221	0.9988476740502155
chr1	165267873	165273198	0.9961789516216153
chr1	166620596	166625921	0.9917870830146359
chr1	167824625	167828806	0.6852011772697264
