id	ip.a.counts	input.a.counts	ip.u.counts	input.u.counts
chr10_100406330_100412500	6	7	0	0
chr10_10069374_10075458	0	11	0	2
chr10_104719978_104726123	2	23	1	3
chr10_105377346_105383377	0	5	0	0
chr10_105550203_105556235	3	11	0	0
chr10_105735717_105741873	2	10	0	0
chr10_105775520_105781551	3	14	0	0
chr10_10650857_10656884	0	11	0	0
chr10_106844583_106850610	0	3	0	0
chr10_108113943_108120006	3	5	0	0
chr10_108310130_108316139	2	3	0	0
chr10_109131414_109137559	1	25	1	23
chr10_109223621_109229635	13	14	12	11
chr10_109652357_109658473	8	7	0	3
chr10_109681560_109687714	1	3	0	2
chr10_109795499_109801544	1	1	1	0
chr10_109825817_109831846	10	7	1	2
chr10_111043140_111049281	0	17	0	0
chr10_111583927_111589948	5	7	0	0
chr10_111813807_111819830	3	8	2	0
chr10_112062391_112068402	13	18	12	6
chr10_112103925_112109951	6	5	0	0
chr10_112250899_112257061	1	5	0	0
chr10_115362336_115368543	0	11	0	0
chr10_115581746_115587785	3	7	0	2
chr10_117079038_117085063	4	10	3	5
chr10_11731436_11737465	0	11	0	0
chr10_117832895_117838887	4	25	0	11
chr10_120234299_120240325	2	6	0	3
chr10_120910959_120916983	7	8	0	0
chr10_125945237_125951250	1	10	0	0
chr10_126676471_126682458	1	2	0	0
chr10_126881867_126887893	0	36	0	14
chr10_129732560_129738580	12	6	0	0
chr10_1302016_1308092	6	8	0	0
chr10_131504576_131510718	5	10	3	0
chr10_132087710_132093874	7	9	6	2
chr10_15915731_15921753	0	5	0	0
chr10_17717877_17722977	1	13	0	0
chr10_18030651_18036675	5	11	1	1
chr10_18627418_18633448	1	7	0	0
chr10_19088601_19094618	0	7	0	0
chr10_19581231_19587252	5	10	3	3
chr10_20291416_20297572	2	13	1	8
chr10_20459681_20465829	2	10	0	1
chr10_20525714_20531846	3	20	0	0
chr10_20555404_20561597	3	15	0	1
chr10_20751667_20757692	1	5	0	0
chr10_22060724_22066859	0	5	0	3
chr10_22123889_22129939	0	5	0	1
chr10_22403137_22409152	0	7	0	2
chr10_23589779_23595933	0	11	0	4
chr10_23666416_23672562	1	14	0	4
chr10_23851013_23857162	0	15	0	0
chr10_25247314_25253340	0	3	0	0
chr10_25515369_25521391	5	8	0	0
chr10_27299253_27305370	1	1	1	1
chr10_27418271_27424390	6	11	2	4
chr10_31443412_31449437	4	11	0	0
chr10_31469210_31475223	6	6	0	0
chr10_32558677_32564814	0	4	0	0
chr10_32699054_32705157	9	17	9	13
chr10_32714106_32720586	0	6	0	2
chr10_33510845_33516876	0	2	0	0
chr10_35473782_35479771	5	5	0	0
chr10_35858668_35864695	2	2	0	0
chr10_37038753_37044909	2	10	0	5
chr10_37896970_37902988	10	8	0	0
chr10_39508152_39514160	0	4	0	0
chr10_41749404_41755349	8	17	8	15
chr10_41797910_41803897	6	5	0	0
chr10_42435381_42441412	0	7	0	0
chr10_42526228_42532221	1	6	0	0
chr10_42665128_42671301	8	14	2	7
chr10_43716710_43722842	6	15	4	6
chr10_44106731_44112897	1	8	0	3
chr10_44268315_44274469	2	3	0	0
chr10_45009173_45015196	1	4	0	0
chr10_45362159_45368173	2	21	1	13
chr10_50782474_50788587	1	18	1	9
chr10_5174970_5181139	0	7	0	3
chr10_51941454_51947615	16	12	8	6
chr10_5222679_5228851	1	3	1	0
chr10_52233328_52239334	7	10	0	0
chr10_52360195_52366339	2	9	1	4
chr10_5245354_5251383	0	2	0	0
chr10_52730355_52736527	3	9	1	4
chr10_53494006_53500000	7	16	7	16
chr10_55601875_55607910	2	11	0	4
chr10_55683076_55689092	2	1	0	0
chr10_55899641_55905708	2	10	0	0
chr10_56442079_56448236	1	0	0	0
chr10_58675839_58681636	1	9	0	0
chr10_59037844_59043990	0	20	0	7
chr10_59470127_59475776	6	34	4	28
chr10_60692960_60698897	9	10	0	0
chr10_62602750_62608755	2	18	0	0
chr10_62672214_62678359	5	25	4	12
chr10_63944638_63950772	2	15	0	1
chr10_64015342_64021547	2	8	0	0
chr10_64924285_64930261	1	5	0	0
chr10_66442673_66448861	1	13	0	0
chr10_67230665_67236674	1	31	1	29
chr10_67387044_67393069	1	17	0	2
chr10_67558505_67564644	14	6	2	3
chr10_6804143_6810301	9	23	6	10
chr10_72435420_72441564	5	20	1	9
chr10_73323334_73329500	0	11	0	6
chr10_74216880_74223021	2	4	0	0
chr10_75558530_75564686	7	25	0	0
chr10_76142708_76148837	8	11	6	5
chr10_76846210_76852331	2	15	0	5
chr10_78088450_78094479	0	11	0	0
chr10_78676493_78682651	6	9	0	0
chr10_79956165_79962310	1	11	1	6
chr10_80722509_80728544	5	12	0	2
chr10_81709615_81715642	6	5	0	0
chr10_82344062_82350086	1	11	0	0
chr10_83781056_83787087	5	29	3	11
chr10_84279967_84286006	0	3	0	0
chr10_84756878_84762878	1	5	0	1
chr10_84773056_84779262	1	5	0	0
chr10_85355506_85361538	0	7	0	0
chr10_85769340_85775490	1	5	0	0
chr10_85876618_85882780	1	13	0	5
chr10_88628462_88634738	0	1	0	1
chr10_90153450_90159478	17	45	13	33
chr10_90250613_90256635	0	17	0	0
chr10_91503263_91509287	0	13	0	0
chr10_91749615_91755638	0	8	0	0
chr10_93520973_93527095	11	13	7	7
chr10_94824660_94830681	1	4	0	0
chr10_95079215_95085109	2	6	0	0
chr10_9519878_9526029	11	18	0	2
chr10_98782941_98788971	0	5	0	0
chr10_99099016_99105074	0	5	0	0
chr10_99152737_99158758	0	10	0	0
chr11_100285746_100291751	0	8	0	0
chr11_100409041_100415069	8	19	8	9
chr11_100451858_100457873	2	6	0	3
chr11_100475720_100481744	1	3	0	0
chr11_101678417_101684557	0	6	0	1
chr11_10173147_10179353	0	4	0	0
chr11_102741437_102747464	0	4	0	0
chr11_103136231_103142353	3	5	0	0
chr11_103386499_103392632	2	4	0	0
chr11_105016295_105022323	0	7	0	5
chr11_107361810_107367839	1	3	0	0
chr11_107372762_107378780	2	4	0	0
chr11_108260626_108266643	18	5	0	0
chr11_108356931_108362967	2	11	0	0
chr11_108373544_108379636	7	16	0	4
chr11_108444619_108450784	3	4	3	4
chr11_109177494_109183526	3	3	0	0
chr11_112678555_112684569	1	4	0	0
chr11_113656606_113662757	1	5	0	0
chr11_114625663_114631683	2	1	0	1
chr11_114633465_114639620	7	8	5	6
chr11_115966933_115973116	0	14	0	7
chr11_116004927_116011056	0	1	0	0
chr11_11711306_11717431	2	1	2	1
chr11_121172190_121178325	1	7	0	0
chr11_125536609_125542640	4	5	0	0
chr11_127363161_127369219	0	18	0	2
chr11_127776695_127782718	0	3	0	0
chr11_128140057_128146214	0	7	0	0
chr11_129155774_129162305	4	13	4	10
chr11_129338915_129344902	2	15	2	9
chr11_132320160_132326183	1	12	0	0
chr11_133640803_133646828	0	10	0	0
chr11_13623018_13629231	5	30	3	5
chr11_14628166_14634160	8	15	3	3
chr11_14661315_14667447	27	10	13	3
chr11_14715908_14721938	1	18	0	0
chr11_14844351_14850498	8	7	0	0
chr11_16141388_16147513	5	5	0	0
chr11_16520489_16526642	1	7	1	5
chr11_18658797_18664912	0	2	0	0
chr11_19135060_19141079	2	3	0	0
chr11_19581371_19587519	1	23	1	20
chr11_21271922_21278061	0	10	0	0
chr11_22016002_22022021	0	0	0	0
chr11_22284807_22290788	2	14	0	0
chr11_22523178_22529212	1	19	1	8
chr11_22646925_22652945	9	8	3	0
chr11_23028117_23034138	0	13	0	0
chr11_23298136_23304191	6	8	0	0
chr11_24327951_24334001	1	10	0	0
chr11_25275325_25281473	1	11	0	0
chr11_25425132_25431158	0	4	0	0
chr11_26113513_26119647	1	6	0	0
chr11_26451095_26457233	11	18	1	3
chr11_26965118_26971134	0	12	0	0
chr11_27219703_27225730	0	12	0	0
chr11_27939073_27945209	3	6	0	0
chr11_28216563_28222701	5	8	5	5
chr11_28372620_28378682	5	9	0	0
chr11_30051207_30057234	0	6	0	2
chr11_30263143_30269287	0	12	0	0
chr11_31315654_31321680	2	4	0	0
chr11_31544010_31550144	9	7	0	0
chr11_31740753_31746893	14	15	0	0
chr11_32941250_32947256	3	4	0	0
chr11_33624757_33630805	9	20	8	7
chr11_35702778_35708923	7	13	0	5
chr11_35754504_35760643	0	3	0	2
chr11_36551606_36557636	1	15	1	4
chr11_37240712_37246716	5	24	4	17
chr11_38191740_38197885	8	1	1	0
chr11_39755039_39761185	1	2	0	0
chr11_39846656_39852654	1	7	0	0
chr11_39881060_39887029	5	7	5	2
chr11_39984014_39990193	3	21	1	19
chr11_40585472_40591501	5	25	3	16
chr11_40910564_40916694	2	6	0	0
chr11_4170252_4176276	0	10	0	0
chr11_42376823_42382954	3	0	0	0
chr11_42940332_42946342	5	14	0	0
chr11_43095011_43101151	4	4	0	0
chr11_45122414_45128497	7	4	0	0
chr11_48292435_48297811	0	14	0	7
chr11_48611749_48617901	0	16	0	11
chr11_48847694_48853724	1	6	0	0
chr11_49725283_49731317	1	0	0	0
chr11_49775119_49781151	0	2	0	0
chr11_5412302_5418416	2	10	0	1
chr11_54708574_54714707	0	9	0	4
chr11_5477498_5483518	0	3	0	0
chr11_54946966_54952988	8	45	8	38
chr11_55084368_55090518	0	7	0	4
chr11_55459916_55465937	0	8	0	0
chr11_55577164_55583342	4	26	2	15
chr11_56549045_56555051	2	4	0	0
chr11_56586668_56592678	0	15	0	7
chr11_59015244_59021381	2	6	0	0
chr11_60435417_60441441	5	7	0	0
chr11_60532161_60538190	5	5	0	0
chr11_6143657_6149454	3	24	0	0
chr11_6185350_6191366	0	9	0	2
chr11_63072955_63079111	0	9	0	0
chr11_63313000_63319125	6	16	4	13
chr11_63344422_63350438	0	10	0	0
chr11_63435303_63441326	0	13	0	0
chr11_6948755_6954881	0	3	0	0
chr11_71511047_71517198	1	18	0	0
chr11_74877463_74883532	8	11	4	1
chr11_74887437_74893565	7	4	1	1
chr11_75748616_75754649	2	22	0	0
chr11_7658148_7664171	27	14	16	3
chr11_76963833_76969955	2	12	1	4
chr11_7861034_7867070	0	5	0	0
chr11_78677772_78683802	0	14	0	0
chr11_79552653_79558680	1	4	0	0
