#'chr'	'start'	'end'	'hg38_PE75_20kb_accuracy.bw'
chr1	21023240	21024912	0.8219043862728672
chr1	21387077	21388776	0.6736903970593507
chr1	23992716	23994028	0.6498931214344084
chr1	24798627	24800040	0.5826057021222818
chr1	24800058	24801083	0.7483372583533778
chr1	25603230	25604932	0.8798849331901016
chr1	26817474	26818642	0.3481935243798445
chr1	27852132	27853788	0.6514794557061914
chr1	27853722	27855103	0.893587553040919
chr1	33052314	33053486	0.7084734668198706
chr1	39233787	39235434	0.9428867063308095
chr1	46240505	46241720	0.028919300123981147
chr1	48191770	48193306	0.6486188683005096
chr1	51711045	51712401	0.9785314462367137
chr1	54561102	54563060	0.6660913149536082
chr1	86215086	86217337	0.8733359470939327
chr1	108488347	108490674	0.6272649749135759
chr1	108675095	108676716	0.8230325469700074
chr1	109073392	109074599	0.8955929664016856
chr1	112897625	112899310	0.5256878912248194
chr1	113068817	113070035	0.5970427962374304
chr1	117428797	117431187	0.8333612691473078
chr1	150727945	150729963	0.8455167130979722
chr1	150780850	150782545	0.726030204324244
chr1	151650596	151652242	0.8242557756376441
chr1	155700508	155701698	0.8495984496188764
chr1	156556909	156557922	0.5592691305829883
chr1	167029218	167030445	0.9967400145511269
chr1	174348481	174351069	0.8764197231751482
chr1	182508680	182510657	0.6554806550640214
chr1	202190821	202192512	0.9028551986279861
chr1	213151489	213153280	0.8463144180563027
chr1	214868609	214870501	0.7232715821457932
chr1	226114299	226115980	0.8709211758670886
chr1	236385952	236388019	0.7528461815945238
chr1	237126780	237128383	0.9814588244230541
chr1	248676325	248677579	0.9543939433409647
chr1	248829788	248830983	0.9484737116422614
chr10	17628348	17630001	0.8967653131452168
chr10	70686282	70688843	0.727408275097843
chr10	92376426	92377452	0.8201838421220539
chr10	92673728	92675979	0.49420752762403936
chr10	97275114	97276325	0.4807121661721068
chr10	99837467	99840119	0.3030082102602946
chr10	99891150	99892776	0.7654790365094775
chr10	100092148	100093575	0.688795175389192
chr10	102035380	102036886	0.9842568428551217
chr10	103128104	103129244	0.8468085106382979
chr10	103129262	103130573	0.6861887499622994
chr10	119721360	119723094	0.7777575638054977
chr11	2331786	2333491	0.980066444390636
chr11	5933989	5935235	0.9127414980439849
chr11	17049598	17051527	0.8221245911325638
chr11	28429396	28430719	0.7787610619469028
chr11	41303125	41305921	0.8012086831545103
chr11	45737523	45739168	0.7755148089055784
chr11	47097012	47098325	0.579597345037671
chr11	60450724	60452415	0.8162630960688938
chr11	60814499	60816375	0.8977861802994721
chr11	62277904	62280312	0.6378775820999906
